,name,size,monster_type,alignment,ac,hp,strength,dex,con,intel,wis,cha,senses,languages,cr,str_save,dex_save,con_save,int_save,wis_save,cha_save,speed,swim,fly,climb,burrow,number_legendary_actions,history,perception,stealth,persuasion,insight,deception,arcana,religion,acrobatics,athletics,intimidation
51,Bone Devil,Large,Fiend (devil),lawful evil,19,142,18,16,18,13,14,16,"Darkvision 120 Ft., passive Perception 12","Infernal, Telepathy 120 Ft.",9.0,0,0,0,5,6,7,40,0,40,0,0,0,0,0,0,0,6,7,0,0,0,0,0
52,Brass Dragon Wyrmling,Medium,Dragon,chaotic good,16,16,15,10,13,10,11,13,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,1.0,0,2,3,0,2,3,30,0,60,0,15,0,0,4,2,0,0,0,0,0,0,0,0
53,Bronze Dragon Wyrmling,Medium,Dragon,lawful good,17,32,17,10,15,12,11,15,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,2.0,0,2,4,0,2,4,30,30,60,0,0,0,0,4,2,0,0,0,0,0,0,0,0
54,Brown Bear,Large,Beast,unaligned,11,34,19,10,16,2,13,7,passive Perception 13,no language,1.0,0,0,0,0,0,0,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Bugbear,Medium,Humanoid (goblinoid),chaotic evil,16,27,15,14,13,8,11,9,"Darkvision 60 Ft., passive Perception 10","Common, Goblin",1.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Bulette,Large,Monstrosity,unaligned,17,94,19,11,21,2,10,5,"Darkvision 60 Ft., Tremorsense 60 Ft., passive Perception 16",no language,5.0,0,0,0,0,0,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
57,Camel,Large,Beast,unaligned,9,15,16,8,14,2,8,5,standard senses,no language,0.125,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Cat,Tiny,Beast,unaligned,12,2,3,15,10,3,12,7,passive Perception 13,no language,0.0,0,0,0,0,0,0,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Centaur,Large,Monstrosity,neutral good,12,45,18,14,14,9,13,11,passive Perception 13,"Elvish, Sylvan",2.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Chain Devil,Medium,Fiend (devil),lawful evil,16,85,18,15,18,11,12,14,"Darkvision 120 Ft., passive Perception 8","Infernal, Telepathy 120 Ft.",8.0,0,0,7,0,4,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Chimera,Large,Monstrosity,chaotic evil,14,114,19,11,19,3,14,10,"Darkvision 60 Ft., passive Perception 18",Understands Draconic But Can't Speak,6.0,0,0,0,0,0,0,30,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Chuul,Large,Aberration,chaotic evil,16,93,19,10,16,5,11,5,"Darkvision 60 Ft., passive Perception 14",Understands Deep Speech But Can't Speak,4.0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Clay Golem,Large,Construct,unaligned,14,133,20,9,18,3,8,1,"Darkvision 60 Ft., passive Perception 9",Understands The Languages Of Its Creator But Can't Speak,9.0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Cloaker,Large,Aberration,chaotic neutral,14,78,17,15,12,13,12,14,"Darkvision 60 Ft., passive Perception 11","Deep Speech, Undercommon",8.0,0,0,0,0,0,0,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Cloud Giant,Huge,Giant,neutral good (50%) or neutral evil (50%),14,200,27,10,22,12,16,16,passive Perception 17,"Common, Giant",9.0,0,0,10,0,7,7,40,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0
66,Cockatrice,Small,Monstrosity,unaligned,11,27,6,12,12,2,13,5,standard senses,no language,0.5,0,0,0,0,0,0,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Commoner,Medium,Humanoid (any race),any alignment,10,4,10,10,10,10,10,10,standard senses,Any One Language (Usually Common),0.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Constrictor Snake,Large,Beast,unaligned,12,13,15,14,12,1,10,3,standard senses,no language,0.25,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Copper Dragon Wyrmling,Medium,Dragon,chaotic good,16,22,15,12,13,14,11,13,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,1.0,0,3,3,0,2,3,30,0,60,30,0,0,0,4,3,0,0,0,0,0,0,0,0
70,Couatl,Medium,Celestial,lawful good,19,97,16,20,17,18,20,18,"Truesight 120 Ft., passive Perception 15","All, Telepathy 120 Ft.",4.0,0,0,5,0,7,6,30,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Crab,Tiny,Beast,unaligned,11,2,2,11,10,1,8,2,"Blindsight 30 Ft., passive Perception 9",no language,0.0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Crocodile,Large,Beast,unaligned,12,19,15,10,13,2,10,5,passive Perception 10,no language,0.5,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Cult Fanatic,Medium,Humanoid (any race),any non-good alignment,13,33,11,14,12,10,13,14,passive Perception 11,Any One Language (Usually Common),2.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Cultist,Medium,Humanoid (any race),any non-good alignment,12,9,11,12,10,10,11,10,passive Perception 10,Any One Language (Usually Common),0.125,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Darkmantle,Small,Monstrosity,unaligned,11,22,16,12,13,2,10,5,"Blindsight 60 Ft., passive Perception 10",no language,0.5,0,0,0,0,0,0,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Death Dog,Medium,Monstrosity,neutral evil,12,39,15,14,14,3,13,6,"Darkvision 120 Ft., passive Perception 15",no language,1.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Deep Gnome (Svirfneblin),Small,Humanoid (gnome),neutral good,15,16,15,14,14,12,10,9,"darkvision 120 ft., passive Perception 12","Gnomish, Terran, Undercommon",0.5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Deer,Medium,Beast,unaligned,13,4,11,16,11,2,14,5,standard senses,no language,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Deva,Medium,Celestial,lawful good,17,136,18,18,18,17,20,20,"Darkvision 120 Ft., passive Perception 19","All, Telepathy 120 Ft.",10.0,0,0,0,0,9,9,30,0,90,0,0,0,0,9,0,0,9,0,0,0,0,0,0
80,Dire Wolf,Large,Beast,unaligned,14,37,17,15,15,3,12,7,passive Perception 13,no language,1.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Diseased Giant Rat,Small,Beast,unaligned,12,7,7,15,11,2,10,4,standard senses,no language,0.125,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Djinni,Large,Elemental,chaotic good,17,161,21,15,22,15,16,20,"Darkvision 120 Ft., passive Perception 13",Auran,11.0,0,6,0,0,7,9,30,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Doppelganger,Medium,Monstrosity (shapechanger),unaligned,14,52,11,18,14,11,12,14,"Darkvision 60 Ft., passive Perception 11",Common,3.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Draft Horse,Large,Beast,unaligned,10,19,18,10,12,2,11,7,standard senses,no language,0.25,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Dragon Turtle,Gargantuan,Dragon,neutral,20,341,25,10,20,10,12,12,"Darkvision 120 Ft., passive Perception 11","Aquan, Draconic",17.0,0,6,11,0,7,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Dretch,Small,Fiend (demon),chaotic evil,11,18,11,11,12,5,8,3,"Darkvision 60 Ft., passive Perception 9","Abyssal, Telepathy 60 Ft. (Works Only With Creatures That Understand Abyssal)",0.25,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Drider,Large,Monstrosity,chaotic evil,19,123,16,16,18,13,14,12,"Darkvision 120 Ft., passive Perception 15","Elvish, Undercommon",6.0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Drow,Medium,Humanoid (elf),neutral evil,15,13,10,14,10,11,11,12,"Darkvision 120 Ft., passive Perception 12","Elvish, Undercommon",0.25,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Druid,Medium,Humanoid (any race),any alignment,11,27,10,12,13,12,15,11,passive Perception 14,Druidic Plus Any Two Languages,2.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Dryad,Medium,Fey,neutral,11,22,10,12,11,14,15,18,"Darkvision 60 Ft., passive Perception 14","Elvish, Sylvan",1.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Duergar,Medium,Humanoid (dwarf),lawful evil,16,26,14,11,14,11,10,9,"Darkvision 120 Ft., passive Perception 10","Dwarvish, Undercommon",1.0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Dust Mephit,Small,Elemental,neutral evil,12,17,5,14,10,9,11,10,"Darkvision 60 Ft., passive Perception 12","Auran, Terran",0.5,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Eagle,Small,Beast,unaligned,12,3,6,15,10,2,14,7,passive Perception 14,no language,0.0,0,0,0,0,0,0,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Earth Elemental,Large,Elemental,neutral,17,126,20,8,20,5,10,5,"Darkvision 60 Ft., Tremorsense 60 Ft., passive Perception 10",Terran,5.0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
95,Efreeti,Large,Elemental,lawful evil,17,200,22,12,24,16,15,16,"Darkvision 120 Ft., passive Perception 12",Ignan,11.0,0,0,0,7,6,7,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Elephant,Huge,Beast,unaligned,12,76,22,9,17,3,11,6,standard senses,no language,4.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Elk,Large,Beast,unaligned,10,13,16,10,12,2,10,6,standard senses,no language,0.25,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Erinyes,Medium,Fiend (devil),lawful evil,18,153,18,16,18,14,14,18,"Truesight 120 Ft., passive Perception 12","Infernal, Telepathy 120 Ft.",12.0,0,7,8,0,6,8,30,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Ettercap,Medium,Monstrosity,neutral evil,13,44,14,15,13,7,12,8,"Darkvision 60 Ft., passive Perception 13",no language,2.0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Ettin,Large,Giant,chaotic evil,12,85,21,8,17,6,10,8,"Darkvision 60 Ft., passive Perception 14","Giant, Orc",4.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Fire Elemental,Large,Elemental,neutral,13,102,10,17,16,6,10,7,"Darkvision 60 Ft., passive Perception 10",Ignan,5.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Fire Giant,Huge,Giant,lawful evil,18,162,25,9,23,10,14,13,passive Perception 16,Giant,9.0,0,3,10,0,0,5,30,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0
103,Flesh Golem,Medium,Construct,neutral,9,93,19,9,18,6,10,5,"Darkvision 60 Ft., passive Perception 10",Understands The Languages Of Its Creator But Can't Speak,5.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Flying Snake,Tiny,Beast,unaligned,14,5,4,18,11,2,12,5,standard senses,no language,0.125,0,0,0,0,0,0,30,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Flying Sword,Small,Construct,unaligned,17,17,12,15,11,1,5,1,"Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 7",no language,0.25,0,4,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Frog,Tiny,Beast,unaligned,11,1,1,13,8,1,8,3,"Darkvision 30 Ft., passive Perception 11",no language,0.0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Frost Giant,Huge,Giant,neutral evil,15,138,23,9,21,9,10,12,passive Perception 13,Giant,8.0,0,0,8,0,3,4,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0
108,Gargoyle,Medium,Elemental,chaotic evil,15,52,15,11,16,6,11,7,"Darkvision 60 Ft., passive Perception 10",Terran,2.0,0,0,0,0,0,0,30,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Gelatinous Cube,Large,Ooze,unaligned,6,84,14,3,20,1,6,1,"Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 8",no language,2.0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Ghast,Medium,Undead,chaotic evil,13,36,16,17,10,11,10,8,"Darkvision 60 Ft., passive Perception 10",Common,2.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Ghost,Medium,Undead,any alignment,11,45,7,13,10,10,12,17,"Darkvision 60 Ft., passive Perception 11",Any Languages It Knew In Life,4.0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Ghoul,Medium,Undead,chaotic evil,12,22,13,15,10,7,10,6,"Darkvision 60 Ft., passive Perception 10",Common,1.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Giant Ape,Huge,Beast,unaligned,12,157,23,14,18,7,12,7,passive Perception 14,no language,7.0,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Giant Badger,Medium,Beast,unaligned,10,13,13,10,15,2,12,5,standard senses,no language,0.25,0,0,0,0,0,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
115,Giant Bat,Large,Beast,unaligned,13,22,15,16,11,2,12,6,standard senses,no language,0.25,0,0,0,0,0,0,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
